-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                               aten::ge         0.33%      13.879ms         0.60%      24.919ms       6.945us       3.253ms         0.08%       3.254ms       0.907us          3588  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       3.200ms         0.08%       3.200ms       3.137us          1020  
                            _C::silu_and_mul_with_clamp         0.20%       8.511ms         0.38%      15.928ms       6.940us       3.157ms         0.08%       3.157ms       1.376us          2295  
void vllm::act_and_mul_kernel<c10::BFloat16, __nv_bf...         0.00%       0.000us         0.00%       0.000us       0.000us       3.157ms         0.08%       3.157ms       1.376us          2295  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       2.913ms         0.07%       2.913ms       2.720us          1071  
                    _kpool_decode_update_batched_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       2.912ms         0.07%       2.912ms       5.294us           550  
                                Activity Buffer Request         0.05%       2.210ms         0.08%       3.486ms     151.576us       2.859ms         0.07%       4.308ms     187.304us            23  
                                            aten::where         0.24%      10.122ms         0.55%      23.117ms      10.792us       2.811ms         0.07%       2.811ms       1.312us          2142  
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.811ms         0.07%       2.811ms       1.312us          2142  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       2.380ms         0.06%       2.380ms       1.085us          2193  
                                       aten::bitwise_or         0.23%       9.465ms         0.39%      16.459ms       7.684us       2.281ms         0.06%       2.281ms       1.065us          2142  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.281ms         0.06%       2.281ms       1.065us          2142  
                                             aten::topk         0.06%       2.660ms         0.17%       7.294ms     143.016us       2.267ms         0.06%       2.370ms      46.463us            51  
                                               aten::lt         0.36%      14.974ms         0.55%      22.777ms      10.633us       2.232ms         0.06%       2.232ms       1.042us          2142  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       2.124ms         0.05%       2.124ms       0.991us          2142  
                                     aten::masked_fill_         0.12%       5.052ms         0.26%      10.668ms       8.638us       2.063ms         0.05%       2.063ms       1.670us          1235  
                                     _fwht_quant_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       2.033ms         0.05%       2.033ms       3.623us           561  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       1.954ms         0.05%       1.954ms       1.161us          1683  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.909ms         0.05%       1.909ms       0.864us          2210  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.826ms         0.05%       1.826ms       0.839us          2176  
                                _vllm_fa2_C::varlen_fwd         0.10%       4.217ms         0.17%       7.094ms      27.821us       1.792ms         0.04%       1.792ms       7.027us           255  
void flash::flash_fwd_splitkv_kernel<Flash_fwd_kerne...         0.00%       0.000us         0.00%       0.000us       0.000us       1.792ms         0.04%       1.792ms       7.027us           255  
void deep_gemm::sm120_fp8_paged_mqa_logits<1u, 32u, ...         0.00%       0.000us         0.00%       0.000us       0.000us       1.791ms         0.04%       1.791ms       3.256us           550  
                                        Memset (Device)         0.00%       0.000us         0.00%       0.000us       0.000us       1.697ms         0.04%       1.697ms       0.387us          4386  
                     _C_cache_ops::concat_and_cache_mla         0.06%       2.590ms         0.11%       4.546ms       8.103us       1.658ms         0.04%       1.658ms       2.956us           561  
void vllm::concat_and_cache_ds_mla_kernel<__nv_bfloa...         0.00%       0.000us         0.00%       0.000us       0.000us       1.658ms         0.04%       1.658ms       2.956us           561  
void flashinfer::sparse_mla_sm120::sparse_mla_decode...         0.00%       0.000us         0.00%       0.000us       0.000us       1.517ms         0.04%       1.517ms       2.705us           561  
                                           _C::rms_norm         0.07%       2.730ms         0.13%       5.438ms       7.616us       1.486ms         0.04%       1.486ms       2.081us           714  
                                             aten::mean         0.06%       2.495ms         0.09%       3.900ms      12.746us       1.444ms         0.04%       1.448ms       4.733us           306  
void at::native::reduce_kernel<128, 4, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us       1.444ms         0.04%       1.444ms       4.718us           306  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us       1.414ms         0.04%       1.414ms       1.268us          1115  
                                              aten::cat         0.11%       4.651ms         0.19%       8.018ms      11.136us       1.410ms         0.04%       1.410ms       1.959us           720  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us       1.362ms         0.03%       1.362ms       2.055us           663  
                  _C_cache_ops::reshape_and_cache_flash         0.04%       1.867ms         0.09%       3.562ms       6.984us       1.353ms         0.03%       1.353ms       2.652us           510  
void vllm::reshape_and_cache_flash_kernel<__nv_bfloa...         0.00%       0.000us         0.00%       0.000us       0.000us       1.353ms         0.03%       1.353ms       2.652us           510  
std::enable_if<!(false), void>::type internal::gemvx...         0.00%       0.000us         0.00%       0.000us       0.000us       1.345ms         0.03%       1.345ms       1.345ms             1  
                                 _C::fused_add_rms_norm         0.05%       1.945ms         0.09%       3.682ms       7.220us       1.268ms         0.03%       1.268ms       2.487us           510  
std::enable_if<(((8)>(0)))&&vllm::_typeConvert<c10::...         0.00%       0.000us         0.00%       0.000us       0.000us       1.268ms         0.03%       1.268ms       2.487us           510  
                                vllm::mhc_post_tilelang         0.33%      13.881ms         0.40%      16.644ms      54.391us       1.212ms         0.03%       1.212ms       3.962us           306  
                               mhc_post_tilelang_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       1.212ms         0.03%       1.212ms       3.962us           306  
                                      aten::bitwise_and         0.12%       5.102ms         0.20%       8.358ms       8.107us       1.144ms         0.03%       1.144ms       1.110us          1031  
              _convert_req_index_to_global_index_kernel         0.00%       0.000us         0.00%       0.000us       0.000us       1.135ms         0.03%       1.135ms       2.023us           561  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us       1.130ms         0.03%       1.130ms       2.014us           561  
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.125ms         0.03%       1.125ms       1.103us          1020  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.117ms         0.03%       1.117ms       0.868us          1287  
void vllm::rms_norm_kernel<c10::BFloat16, 8, 3, true...         0.00%       0.000us         0.00%       0.000us       0.000us       1.052ms         0.03%       1.052ms       2.063us           510  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 4.178s
Self CUDA time total: 4.008s

